M [M_sol],a_i [au],a_f [au],status
,,,
0.00058593,2.53,1.718134808,0
,,,
0.00058593,2.531,2.198829168,0
,,,
0.00058593,2.532,2.370991716,0
,,,
0.00058593,2.533,2.48936665,0
,,,
0.00058593,2.534,2.575688638,0
,,,
0.00058593,2.535,2.64672264,0
,,,
0.00058593,2.536,2.706697986,0
,,,
0.00058593,2.537,2.758285041,0
,,,
0.00058593,2.538,2.804321533,0
,,,
0.00058593,2.539,2.846560504,0
,,,
0.00058593,2.54,2.882806624,0
,,,
0.00058593,2.541,2.917351142,0
,,,
0.00058593,2.542,2.949249803,0
,,,
0.00058593,2.543,2.979044795,0
,,,
0.00058593,2.544,3.006996425,0
,,,
0.00058593,2.545,3.033127714,0
,,,
0.00058593,2.546,3.058144006,0
,,,
0.00058593,2.547,3.081608821,0
,,,
0.00058593,2.548,3.104010372,0
,,,
0.00058593,2.549,3.124581596,0
,,,
0.00058593,2.55,3.145859188,0
,,,
0.00058593,2.551,3.165527762,0
,,,
0.00058593,2.552,3.184362322,0
,,,
0.00058593,2.553,3.202552196,0
,,,
0.00058593,2.554,3.220138014,0
,,,
0.00058593,2.555,3.236962287,0
,,,
0.00058593,2.556,3.254905189,0
,,,
0.00058593,2.557,3.26917324,0
,,,
0.00058593,2.558,3.284576493,0
,,,
0.00058593,2.559,3.298969228,0
,,,
0.00058593,2.56,3.313994079,0
,,,
0.00058593,2.561,3.328014225,0
,,,
0.00058593,2.562,3.341842819,0
,,,
0.00058593,2.563,3.355220335,0
,,,
0.00058593,2.564,3.368271066,0
,,,
0.00058593,2.565,3.381020661,0
,,,
0.00058593,2.566,3.393486635,0
,,,
0.00058593,2.567,3.405678837,0
,,,
0.00058593,2.568,3.417398118,0
,,,
0.00058593,2.569,3.429253438,0
,,,
0.00058593,2.57,3.440670672,0
,,,
0.00058593,2.571,3.451871443,0
,,,
0.00058593,2.572,3.462692865,0
,,,
0.00058593,2.573,3.473648671,0
,,,
0.00058593,2.574,3.484138212,0
,,,
0.00058593,2.575,3.494531689,0
,,,
0.00058593,2.576,3.50474906,0
,,,
0.00058593,2.577,3.514691553,0
,,,
0.00058593,2.578,3.524577963,0
,,,
0.00058593,2.579,3.534265727,0
,,,
0.00058593,2.58,3.5437749,0
,,,
0.000773363,2.62,2.148585107,0
,,,
0.000773363,2.621,2.384570537,0
,,,
0.000773363,2.622,2.522447262,0
,,,
0.000773363,2.623,2.62195132,0
,,,
0.000773363,2.624,2.700597909,0
,,,
0.000773363,2.625,2.765850253,0
,,,
0.000773363,2.626,2.822172813,0
,,,
0.000773363,2.627,2.87175457,0
,,,
0.000773363,2.628,2.915946551,0
,,,
0.000773363,2.629,2.956116015,0
,,,
0.000773363,2.63,2.993206753,0
,,,
0.000773363,2.631,3.026734532,0
,,,
0.000773363,2.632,3.058325192,0
,,,
0.000773363,2.633,3.087722668,0
,,,
0.000773363,2.634,3.115328299,0
,,,
0.000773363,2.635,3.14150644,0
,,,
0.000773363,2.636,3.1663066,0
,,,
0.000773363,2.637,3.189837349,0
,,,
0.000773363,2.638,3.212273925,0
,,,
0.000773363,2.639,3.233722879,0
,,,
0.000773363,2.64,3.254285231,0
,,,
0.000773363,2.641,3.274005578,0
,,,
0.000773363,2.642,3.29297897,0
,,,
0.000773363,2.643,3.311321578,0
,,,
0.000773363,2.644,3.329032718,0
,,,
0.000773363,2.645,3.346003365,0
,,,
0.000773363,2.646,3.362519177,0
,,,
0.000773363,2.647,3.378542468,0
,,,
0.000773363,2.648,3.394062387,0
,,,
0.000773363,2.649,3.409126207,0
,,,
0.000773363,2.65,3.4238672,0
,,,
0.000773363,2.651,3.438153339,0
,,,
0.000773363,2.652,3.451603602,0
,,,
0.000773363,2.653,3.465657256,0
,,,
0.000773363,2.654,3.478883968,0
,,,
0.000773363,2.655,3.491781619,0
,,,
0.000773363,2.656,3.50444698,0
,,,
0.000773363,2.657,3.516810428,0
,,,
0.000773363,2.658,3.528757646,0
,,,
0.000773363,2.659,3.540830545,0
,,,
0.000773363,2.66,3.552265744,0
,,,
0.000773363,2.661,3.563784369,0
,,,
0.000773363,2.662,3.574906385,0
,,,
0.000773363,2.663,3.585985819,0
,,,
0.000773363,2.664,3.596605029,0
,,,
0.000773363,2.665,3.607174138,0
,,,
0.000773363,2.666,3.617513057,0
,,,
0.000773363,2.667,3.627728595,0
,,,
0.000773363,2.668,3.637890805,0
,,,
0.000773363,2.669,3.647597392,0
,,,
0.000773363,2.67,3.65704659,0
