M [M_sol],a_i [au],a_f [au],status
3.003489348850791e-06,1.42,1.478971994388405,1.0
3.003489348850791e-06,1.4209999999999998,1.4807202585249681,1.0
3.003489348850791e-06,1.422,1.4825428430912997,1.0
3.003489348850791e-06,1.423,1.4843192080028063,1.0
3.003489348850791e-06,1.424,1.4860904060953655,1.0
3.003489348850791e-06,1.4249999999999998,1.4878550544909204,1.0
3.003489348850791e-06,1.426,1.4896156375332277,1.0
3.003489348850791e-06,1.427,1.4913673899974826,1.0
3.003489348850791e-06,1.428,1.4931148765346511,1.0
3.003489348850791e-06,1.4289999999999998,1.4948565027857925,1.0
3.003489348850791e-06,1.43,1.4965924664423826,1.0
3.003489348850791e-06,1.431,1.4983203454959853,1.0
3.003489348850791e-06,1.432,1.500048017687097,1.0
3.003489348850791e-06,1.4329999999999998,1.501766995966971,1.0
3.003489348850791e-06,1.434,1.503479507824071,1.0
3.003489348850791e-06,1.435,1.5051878325075743,1.0
3.003489348850791e-06,1.436,1.5068902596073444,1.0
3.003489348850791e-06,1.4369999999999998,1.5085898782493845,1.0
3.003489348850791e-06,1.438,1.5102820804614951,1.0
3.003489348850791e-06,1.439,1.5119705169121453,1.0
3.003489348850791e-06,1.44,1.5136534576064362,1.0
3.003489348850791e-06,1.4409999999999998,1.5153323791821396,1.0
3.003489348850791e-06,1.442,1.5170068310238256,1.0
3.003489348850791e-06,1.443,1.5186744238512933,1.0
3.003489348850791e-06,1.444,1.5203374267538894,1.0
3.003489348850791e-06,1.4449999999999998,1.5219981903181685,1.0
3.003489348850791e-06,1.446,1.5236507529561965,1.0
3.003489348850791e-06,1.447,1.5253034079282213,1.0
3.003489348850791e-06,1.448,1.5269490647565827,1.0
3.003489348850791e-06,1.4489999999999998,1.5285887234390512,1.0
3.003489348850791e-06,1.45,1.5302262313763288,1.0
3.003489348850791e-06,1.451,1.5318584038067788,1.0
3.003489348850791e-06,1.452,1.5334870710059227,1.0
3.003489348850791e-06,1.4529999999999998,1.5351102485709531,1.0
3.003489348850791e-06,1.454,1.5367304616813393,1.0
3.003489348850791e-06,1.455,1.5383462546225435,1.0
3.003489348850791e-06,1.456,1.5399575407449622,1.0
3.003489348850791e-06,1.4569999999999999,1.5415650845695381,1.0
3.003489348850791e-06,1.458,1.5431685415806342,1.0
3.003489348850791e-06,1.459,1.5447678554968933,1.0
3.003489348850791e-06,1.46,1.546364220565648,1.0
3.003489348850791e-06,1.4609999999999999,1.547954867434878,1.0
3.003489348850791e-06,1.462,1.5495438317740147,1.0
3.003489348850791e-06,1.463,1.55112666645564,1.0
3.003489348850791e-06,1.464,1.5527094745265941,1.0
3.003489348850791e-06,1.4649999999999999,1.5542999656635417,1.0
3.003489348850791e-06,1.466,1.5558603857898778,1.0
3.003489348850791e-06,1.467,1.5574283676426521,1.0
3.003489348850791e-06,1.468,1.5589942267805206,1.0
3.003489348850791e-06,1.4689999999999999,1.5605572535622096,1.0
3.003489348850791e-06,1.47,1.5621168746859093,1.0
3.003489348850791e-06,1.471,1.563671938844011,1.0
3.003489348850791e-06,1.472,1.5652228052591013,1.0
3.003489348850791e-06,1.4729999999999999,1.566772772659604,1.0
3.003489348850791e-06,1.474,1.5683186988641373,1.0
3.003489348850791e-06,1.475,1.569861038694193,1.0
3.003489348850791e-06,1.476,1.5713985785439708,1.0
3.003489348850791e-06,1.4769999999999999,1.5729343103888054,1.0
3.003489348850791e-06,1.478,2.4359973313664374,0.0
3.003489348850791e-06,1.479,2.4386327248601756,0.0
3.003489348850791e-06,1.48,2.4412689388390296,0.0
3.964276745795425e-06,1.45,1.4937312826851343,1.0
3.964276745795425e-06,1.451,1.4956653808089861,1.0
3.964276745795425e-06,1.452,1.4975832328026943,1.0
3.964276745795425e-06,1.4529999999999998,1.4994991748003355,1.0
3.964276745795425e-06,1.454,1.501410613395652,1.0
3.964276745795425e-06,1.455,1.5033088735302795,1.0
3.964276745795425e-06,1.456,1.505202863472849,1.0
3.964276745795425e-06,1.4569999999999999,1.5070861275468936,1.0
3.964276745795425e-06,1.458,1.5089624158482473,1.0
3.964276745795425e-06,1.459,1.5108300485757957,1.0
3.964276745795425e-06,1.46,1.5126948099804192,1.0
3.964276745795425e-06,1.4609999999999999,1.5145504224578024,1.0
3.964276745795425e-06,1.462,1.5164005552651483,1.0
3.964276745795425e-06,1.463,1.5182330247017666,1.0
3.964276745795425e-06,1.464,1.520077727212578,1.0
3.964276745795425e-06,1.4649999999999999,1.521905680697738,1.0
3.964276745795425e-06,1.466,1.5237259411661614,1.0
3.964276745795425e-06,1.467,1.5255446224815137,1.0
3.964276745795425e-06,1.468,1.5273508118139068,1.0
3.964276745795425e-06,1.4689999999999999,1.529137062931034,1.0
3.964276745795425e-06,1.47,1.5309478800908531,1.0
3.964276745795425e-06,1.471,1.5327406669704375,1.0
3.964276745795425e-06,1.472,1.534524636373856,1.0
3.964276745795425e-06,1.4729999999999999,1.536303248802337,1.0
3.964276745795425e-06,1.474,1.5380751154272287,1.0
3.964276745795425e-06,1.475,1.5398425836271663,1.0
3.964276745795425e-06,1.476,1.541597064912106,1.0
3.964276745795425e-06,1.4769999999999999,1.5433598485188653,1.0
3.964276745795425e-06,1.478,1.5451059539808099,1.0
3.964276745795425e-06,1.479,1.5468460485940676,1.0
3.964276745795425e-06,1.48,1.5485877941191126,1.0
3.964276745795425e-06,1.4809999999999999,1.5503212676124853,1.0
3.964276745795425e-06,1.482,1.5520471878562379,1.0
3.964276745795425e-06,1.483,1.55377061175937,1.0
3.964276745795425e-06,1.484,1.5554862633632296,1.0
3.964276745795425e-06,1.4849999999999999,1.5572026905377503,1.0
3.964276745795425e-06,1.486,1.5589057504516541,1.0
3.964276745795425e-06,1.487,1.560606579937435,1.0
3.964276745795425e-06,1.488,1.562303879322869,1.0
3.964276745795425e-06,1.4889999999999999,1.5639962408468728,1.0
3.964276745795425e-06,1.49,1.5656825664200837,1.0
3.964276745795425e-06,1.491,1.5673681438834746,1.0
3.964276745795425e-06,1.492,1.5690403642691129,1.0
3.964276745795425e-06,1.4929999999999999,1.5707161396858123,1.0
3.964276745795425e-06,1.494,1.572383522891017,1.0
3.964276745795425e-06,1.495,1.574048831355994,1.0
3.964276745795425e-06,1.496,2.4265567514709603,0.0
3.964276745795425e-06,1.4969999999999999,2.429523003494715,0.0
3.964276745795425e-06,1.498,2.432458286224,0.0
3.964276745795425e-06,1.499,2.435388899387154,0.0
3.964276745795425e-06,1.5,2.438316073804646,0.0
3.964276745795425e-06,1.501,2.4412272957247105,0.0
3.964276745795425e-06,1.502,2.4441215306729265,0.0
3.964276745795425e-06,1.5030000000000001,2.4470127532281496,0.0
3.964276745795425e-06,1.504,2.4498921389937522,0.0
3.964276745795425e-06,1.505,2.452770012228663,0.0
3.964276745795425e-06,1.506,2.4556201479397104,0.0
3.964276745795425e-06,1.5070000000000001,2.4584697527927593,0.0
3.964276745795425e-06,1.508,2.4613053616865184,0.0
3.964276745795425e-06,1.509,2.4641375532844383,0.0
3.964276745795425e-06,1.51,2.46695437953156,0.0
5.232410803543397e-06,1.48,1.5034611358486905,1.0
5.232410803543397e-06,1.4809999999999999,1.505588220579013,1.0
5.232410803543397e-06,1.482,1.5077080959199907,1.0
5.232410803543397e-06,1.483,1.5098738077522962,1.0
5.232410803543397e-06,1.484,1.5119111577461803,1.0
5.232410803543397e-06,1.4849999999999999,1.513997295340542,1.0
5.232410803543397e-06,1.486,1.5160770251036872,1.0
5.232410803543397e-06,1.487,1.5181436876192294,1.0
5.232410803543397e-06,1.488,1.5202004487229137,1.0
5.232410803543397e-06,1.4889999999999999,1.5222455458132418,1.0
5.232410803543397e-06,1.49,1.5242797221150084,1.0
5.232410803543397e-06,1.491,1.5263078919540691,1.0
5.232410803543397e-06,1.492,1.5283235631594225,1.0
5.232410803543397e-06,1.4929999999999999,1.5303327640109095,1.0
5.232410803543397e-06,1.494,1.5323380289747432,1.0
5.232410803543397e-06,1.495,1.5343269096355334,1.0
5.232410803543397e-06,1.496,1.536311011722788,1.0
5.232410803543397e-06,1.4969999999999999,1.5382871740773154,1.0
5.232410803543397e-06,1.498,1.5402500013609572,1.0
5.232410803543397e-06,1.499,1.5422076976046242,1.0
5.232410803543397e-06,1.5,1.544155826351999,1.0
5.232410803543397e-06,1.501,1.5460983382545104,1.0
5.232410803543397e-06,1.502,1.5480295864091236,1.0
