M [M_sol],a_i [au],a_f [au],status
3.003489348850791e-06,1.8266666666666667,1.9390224138768046,1.0
3.003489348850791e-06,1.8275555555555556,1.9402048271374381,1.0
3.003489348850791e-06,1.8284444444444445,1.9413861937292383,1.0
3.003489348850791e-06,1.8293333333333333,1.942566954583232,1.0
3.003489348850791e-06,1.8302222222222222,1.943748899786223,1.0
3.003489348850791e-06,1.8311111111111111,1.9449260301033702,1.0
3.003489348850791e-06,1.832,1.9461040958299105,1.0
3.003489348850791e-06,1.8328888888888888,1.94727575783775,1.0
3.003489348850791e-06,1.8337777777777777,1.9484667752352185,1.0
3.003489348850791e-06,1.8346666666666667,1.9496383898486862,1.0
3.003489348850791e-06,1.8355555555555556,1.950804195363956,1.0
3.003489348850791e-06,1.8364444444444443,1.9519780044366137,1.0
3.003489348850791e-06,1.8373333333333333,1.9531490564311969,1.0
3.003489348850791e-06,1.8382222222222222,1.954318852299546,1.0
3.003489348850791e-06,1.8391111111111111,1.9554910850565923,1.0
3.003489348850791e-06,1.8399999999999999,1.956659463906226,1.0
3.003489348850791e-06,1.8408888888888888,1.9578286501240876,1.0
3.003489348850791e-06,1.8417777777777777,1.958995338051974,1.0
3.003489348850791e-06,1.8426666666666667,1.9601630309362321,1.0
3.003489348850791e-06,1.8435555555555556,1.9613262198004215,1.0
3.003489348850791e-06,1.8444444444444443,1.9624920536323935,1.0
3.003489348850791e-06,1.8453333333333333,1.9636566331209802,1.0
3.003489348850791e-06,1.8462222222222222,1.9648175565529866,1.0
3.003489348850791e-06,1.8471111111111111,1.965972634852905,1.0
3.003489348850791e-06,1.8479999999999999,1.9671395764390738,1.0
3.003489348850791e-06,1.8488888888888888,1.9682998907780012,1.0
3.003489348850791e-06,1.8497777777777777,1.9694601012874255,1.0
3.003489348850791e-06,1.8506666666666667,1.9706175529733372,1.0
3.003489348850791e-06,1.8515555555555554,1.971775424054377,1.0
3.003489348850791e-06,1.8524444444444443,1.97293064741717,1.0
3.003489348850791e-06,1.8533333333333333,1.9740877281361342,1.0
3.003489348850791e-06,1.8542222222222222,1.9752415073080751,1.0
3.003489348850791e-06,1.8551111111111112,1.9763934198690127,1.0
3.003489348850791e-06,1.8559999999999999,1.9775489574458822,1.0
3.003489348850791e-06,1.8568888888888888,1.9787011320543202,1.0
3.003489348850791e-06,1.8577777777777778,1.979852323713791,1.0
3.003489348850791e-06,1.8586666666666667,1.9810029637537026,1.0
3.003489348850791e-06,1.8595555555555554,1.9821534568022163,1.0
3.003489348850791e-06,1.8604444444444443,1.9833037208113389,1.0
3.003489348850791e-06,1.8613333333333333,1.9844521747551873,1.0
3.003489348850791e-06,1.8622222222222222,1.9855986731623863,1.0
3.003489348850791e-06,1.863111111111111,1.986744635312566,1.0
3.003489348850791e-06,1.8639999999999999,1.9878892891800921,1.0
3.003489348850791e-06,1.8648888888888888,1.9890345995896195,1.0
3.003489348850791e-06,1.8657777777777778,1.9901784251919543,1.0
3.003489348850791e-06,1.8666666666666667,1.9913220882288305,1.0
3.003489348850791e-06,1.8675555555555554,1.9924651382256036,1.0
3.003489348850791e-06,1.8684444444444444,1.9936076815136787,1.0
3.003489348850791e-06,1.8693333333333333,1.9947489476761986,1.0
3.003489348850791e-06,1.8702222222222222,1.9958867699504617,1.0
3.003489348850791e-06,1.871111111111111,1.9970271509481403,1.0
3.003489348850791e-06,1.8719999999999999,1.998163989167114,1.0
3.003489348850791e-06,1.8728888888888888,4.529070775237383,0.0
3.003489348850791e-06,1.8737777777777778,4.531828079010503,0.0
3.003489348850791e-06,1.8746666666666665,4.534591466908535,0.0
3.003489348850791e-06,1.8755555555555554,4.5373569468453745,0.0
3.003489348850791e-06,1.8764444444444444,4.540110603278356,0.0
3.003489348850791e-06,1.8773333333333333,4.542871933023811,0.0
3.003489348850791e-06,1.878222222222222,4.545624815710566,0.0
3.003489348850791e-06,1.879111111111111,4.548387349161084,0.0
3.003489348850791e-06,1.88,4.551113805309175,0.0
3.964276745795425e-06,1.8533333333333335,1.9561501579112464,1.0
3.964276745795425e-06,1.8542222222222224,1.9573818372994736,1.0
3.964276745795425e-06,1.8551111111111114,1.958611090691508,1.0
3.964276745795425e-06,1.856,1.9598322054197874,1.0
3.964276745795425e-06,1.856888888888889,1.961066173842611,1.0
3.964276745795425e-06,1.857777777777778,1.962291993944828,1.0
3.964276745795425e-06,1.858666666666667,1.9635172013074087,1.0
