M [M_sol],a_i [au],a_f [au],status
3.003489348850791e-06,1.0,0.9670996198068501,1.0
3.003489348850791e-06,1.03,1.0010518751492312,1.0
3.003489348850791e-06,1.06,1.0344004239853513,1.0
3.003489348850791e-06,1.09,1.0672591735532355,1.0
3.003489348850791e-06,1.12,1.0793510945915818,1.0
3.003489348850791e-06,1.15,1.1137913886103359,1.0
3.003489348850791e-06,1.18,1.1476096068363302,1.0
3.003489348850791e-06,1.21,1.1809156908382246,1.0
3.003489348850791e-06,1.24,1.1843808064027,1.0
3.003489348850791e-06,1.27,1.220049570400738,1.0
3.003489348850791e-06,1.3,1.254970222278739,1.0
3.003489348850791e-06,1.33,1.2892782220235182,1.0
3.003489348850791e-06,1.3599999999999999,1.3231402382884179,1.0
3.003489348850791e-06,1.3900000000000001,1.3566755941476178,1.0
3.003489348850791e-06,1.42,1.3643361872916717,1.0
3.003489348850791e-06,1.45,1.400166280763988,1.0
3.003489348850791e-06,1.48,1.4358431801783635,1.0
3.003489348850791e-06,1.51,1.4715912431130787,1.0
3.003489348850791e-06,1.54,1.5071832433130132,1.0
3.003489348850791e-06,1.5699999999999998,1.5418674569525264,1.0
3.003489348850791e-06,1.6,1.558761691604733,1.0
3.003489348850791e-06,1.63,1.5953371926624955,1.0
3.003489348850791e-06,1.66,1.6174671484883585,1.0
3.003489348850791e-06,1.69,1.6569083280729102,1.0
3.003489348850791e-06,1.72,1.694836329253099,1.0
3.003489348850791e-06,1.75,1.7315681959924332,1.0
3.003489348850791e-06,1.78,1.7673382047059432,1.0
3.003489348850791e-06,1.81,1.9166481354388478,1.0
3.003489348850791e-06,1.8399999999999999,1.956660013306254,1.0
3.003489348850791e-06,1.87,1.9956030725349383,1.0
3.003489348850791e-06,1.9,4.612337384783733,0.0
3.003489348850791e-06,1.93,4.702117041158344,0.0
3.003489348850791e-06,1.96,4.78981531934714,0.0
3.003489348850791e-06,1.99,4.8758077952373196,0.0
3.003489348850791e-06,2.02,4.96035944361739,0.0
3.003489348850791e-06,2.05,5.043694904644271,0.0
3.003489348850791e-06,2.08,5.125995668640599,0.0
3.003489348850791e-06,2.11,5.207411467212349,0.0
3.003489348850791e-06,2.1399999999999997,5.288065534801889,0.0
3.003489348850791e-06,2.17,5.368061479767276,0.0
3.003489348850791e-06,2.2,5.447485593579541,0.0
3.003489348850791e-06,2.23,5.526413825875155,0.0
3.003489348850791e-06,2.26,5.60490566517061,0.0
3.003489348850791e-06,2.29,5.683017715973459,0.0
3.003489348850791e-06,2.32,5.760793930278909,0.0
3.003489348850791e-06,2.3499999999999996,5.838274762322755,0.0
3.003489348850791e-06,2.38,5.915493843898967,0.0
3.003489348850791e-06,2.41,5.992482026597256,0.0
3.003489348850791e-06,2.44,6.06926485169847,0.0
3.003489348850791e-06,2.4699999999999998,6.1373136120541965,0.0
3.003489348850791e-06,2.5,6.222298766609176,0.0
3.003489348850791e-06,2.5300000000000002,6.298590726780476,0.0
3.003489348850791e-06,2.56,6.374751131534557,0.0
3.003489348850791e-06,2.59,6.450793669926509,0.0
3.003489348850791e-06,2.62,6.526732763817928,0.0
