M [M_sol],a_i [au],a_f [au],status
3.003489348850791e-06,1.0,0.9318735869203313,1.0
3.003489348850791e-06,1.03,0.9480438756871986,1.0
3.003489348850791e-06,1.06,0.9889288118714812,1.0
3.003489348850791e-06,1.09,1.0289236767001704,1.0
3.003489348850791e-06,1.12,1.032905454334771,1.0
3.003489348850791e-06,1.15,1.05729719548371,1.0
3.003489348850791e-06,1.18,1.1040392335385159,1.0
3.003489348850791e-06,1.21,1.1491795151256727,1.0
3.003489348850791e-06,1.24,1.1480464662517185,1.0
3.003489348850791e-06,1.27,1.167899750085002,1.0
3.003489348850791e-06,1.3,1.2205122884368753,1.0
3.003489348850791e-06,1.33,1.267067057639932,1.0
3.003489348850791e-06,1.3599999999999999,1.3096909521256785,1.0
3.003489348850791e-06,1.3900000000000001,1.4218621556722033,1.0
3.003489348850791e-06,1.42,1.4789722524949862,1.0
3.003489348850791e-06,1.45,1.5302262963083726,1.0
3.003489348850791e-06,1.48,2.441271141054897,0.0
3.003489348850791e-06,1.51,2.5172516560818234,0.0
3.003489348850791e-06,1.54,2.5884237061104343,0.0
3.003489348850791e-06,1.5699999999999998,2.6560423473679338,0.0
3.003489348850791e-06,1.6,2.7209253919621554,0.0
3.003489348850791e-06,1.63,2.7837649449559008,0.0
3.003489348850791e-06,1.66,2.8449007319316237,0.0
3.003489348850791e-06,1.69,2.90469368137306,0.0
3.003489348850791e-06,1.72,2.9633904245649325,0.0
3.003489348850791e-06,1.75,3.021185737383759,0.0
3.003489348850791e-06,1.78,3.0799557946267297,0.0
3.003489348850791e-06,1.81,3.134654518886775,0.0
3.003489348850791e-06,1.8399999999999999,3.190549493652533,0.0
3.003489348850791e-06,1.87,3.245998849818474,0.0
3.003489348850791e-06,1.9,3.3010688014925567,0.0
3.003489348850791e-06,1.93,3.355814810038232,0.0
3.003489348850791e-06,1.96,3.4102825949168705,0.0
3.003489348850791e-06,1.99,3.4645103147323635,0.0
3.003489348850791e-06,2.02,3.518531750668856,0.0
3.003489348850791e-06,2.05,3.5723730180607354,0.0
3.003489348850791e-06,2.08,3.6260582013750233,0.0
3.003489348850791e-06,2.11,3.6796068953382925,0.0
3.003489348850791e-06,2.1399999999999997,3.733035875125383,0.0
3.003489348850791e-06,2.17,3.786360252566651,0.0
