M [M_sol],a_i [au],a_f [au],status
3.003489348850791e-06,1.541,2.5907289199123893,0.0
3.003489348850791e-06,1.542,2.5930306363223967,0.0
3.003489348850791e-06,1.5430000000000001,2.5953264113917736,0.0
3.003489348850791e-06,1.544,2.597622669492632,0.0
3.003489348850791e-06,1.545,2.5999130115576574,0.0
3.003489348850791e-06,1.546,2.602198923929398,0.0
3.003489348850791e-06,1.5470000000000002,2.6044814435685932,0.0
3.003489348850791e-06,1.548,2.60676143281137,0.0
3.003489348850791e-06,1.549,2.6090376174665373,0.0
3.003489348850791e-06,1.55,2.6113089743139652,0.0
3.003489348850791e-06,1.5510000000000002,2.6135774971351395,0.0
3.003489348850791e-06,1.552,2.615841549706203,0.0
3.003489348850791e-06,1.553,2.6181037462773515,0.0
3.003489348850791e-06,1.554,2.6203617955757035,0.0
3.003489348850791e-06,1.5550000000000002,2.6226167156469837,0.0
3.003489348850791e-06,1.556,2.624867811205392,0.0
3.003489348850791e-06,1.557,2.627115475439029,0.0
3.003489348850791e-06,1.558,2.6293599603273976,0.0
3.003489348850791e-06,1.5590000000000002,2.6315997896528898,0.0
3.003489348850791e-06,1.56,2.6338387698528227,0.0
3.003489348850791e-06,1.561,2.636072801221722,0.0
3.003489348850791e-06,1.562,2.638304525896344,0.0
3.003489348850791e-06,1.5630000000000002,2.6405323060728145,0.0
3.003489348850791e-06,1.564,2.64275751725352,0.0
3.003489348850791e-06,1.565,2.644979460837579,0.0
3.003489348850791e-06,1.566,2.647198057416864,0.0
3.003489348850791e-06,1.5670000000000002,2.6494144412363605,0.0
3.003489348850791e-06,1.568,2.6516262810684674,0.0
3.003489348850791e-06,1.569,2.6538358260110613,0.0
3.003489348850791e-06,1.57,2.6560413787947086,0.0
3.964276745795425e-06,1.5710000000000002,2.6247702950444434,0.0
3.964276745795425e-06,1.572,2.627174183237599,0.0
3.964276745795425e-06,1.573,2.62957806164911,0.0
3.964276745795425e-06,1.574,2.6319682467305787,0.0
3.964276745795425e-06,1.5750000000000002,2.634358553709326,0.0
3.964276745795425e-06,1.576,2.6367435223748683,0.0
3.964276745795425e-06,1.577,2.639124483839964,0.0
3.964276745795425e-06,1.578,2.641499552409048,0.0
3.964276745795425e-06,1.5790000000000002,2.643873972918411,0.0
3.964276745795425e-06,1.58,2.6462411983931577,0.0
3.964276745795425e-06,1.581,2.6486040376932576,0.0
3.964276745795425e-06,1.582,2.6509635504720506,0.0
3.964276745795425e-06,1.5830000000000002,2.6533189887266038,0.0
3.964276745795425e-06,1.584,2.65566361817119,0.0
3.964276745795425e-06,1.585,2.6580161492768837,0.0
3.964276745795425e-06,1.586,2.660358852649439,0.0
3.964276745795425e-06,1.5870000000000002,2.662697081723565,0.0
3.964276745795425e-06,1.588,2.6650312740031996,0.0
3.964276745795425e-06,1.589,2.6672654728439307,0.0
3.964276745795425e-06,1.59,2.669688045197626,0.0
3.964276745795425e-06,1.5910000000000002,2.6720102087378548,0.0
3.964276745795425e-06,1.592,2.674329160136187,0.0
3.964276745795425e-06,1.593,2.6766431261684867,0.0
3.964276745795425e-06,1.594,2.6789538811994924,0.0
3.964276745795425e-06,1.5950000000000002,2.681261896047177,0.0
3.964276745795425e-06,1.596,2.6835651027932683,0.0
3.964276745795425e-06,1.597,2.6858643473108015,0.0
3.964276745795425e-06,1.598,2.688161120237354,0.0
3.964276745795425e-06,1.5990000000000002,2.6904533698169124,0.0
3.964276745795425e-06,1.6,2.692738070146479,0.0
5.232410803543397e-06,1.601,2.6545548815621243,0.0
5.232410803543397e-06,1.602,2.657090488905846,0.0
5.232410803543397e-06,1.6030000000000002,2.6596199047441247,0.0
5.232410803543397e-06,1.604,2.6621433564508448,0.0
5.232410803543397e-06,1.605,2.664667809984243,0.0
5.232410803543397e-06,1.606,2.667173997549279,0.0
5.232410803543397e-06,1.6070000000000002,2.669683704392053,0.0
5.232410803543397e-06,1.608,2.672182232088807,0.0
5.232410803543397e-06,1.609,2.674678413318039,0.0
5.232410803543397e-06,1.61,2.6771685844730966,0.0
